Major,Requirement,Course Code,Course Title,Credits
"African American Studies, B.S.",Literature,AFROAMER 338,The Black Arts Movement,
"African American Studies, B.S.",History and Society,AFROAMER 151,Introduction to Contemporary Afro-American Society,
"African American Studies, B.S.",History and Society,AFROAMER 231,Introduction to Afro-American History,
"African American Studies, B.S.",History and Society,AFROAMER 272,Race and American Politics from the New Deal to the New Right,
"African American Studies, B.S.",History and Society,HISTORY 321,Afro-American History Since 1900,
"African American Studies, B.S.",History and Society,HISTORY 322,Afro-American History to 1900,
"African American Studies, B.S.",History and Society,WS 324,Black Women in America: Reconstruction to the Present,
"African American Studies, B.S.",History and Society,WS 326,Race and Gender in Post-World War II U.S. Society,
"African American Studies, B.S.",History and Society,HISTORY 393,"Slavery, Civil War, and Reconstruction, 1848-1877",
"African American Studies, B.S.",Arts and CuLture,AFROAMER 154,Hip-Hop and Contemporary American Society,
"African American Studies, B.S.",Arts and CuLture,AFROAMER 156,Black Music and American Cultural History,
"African American Studies, B.S.",Arts and CuLture,HIST 241,Introduction to African Art and Architecture,
"African American Studies, B.S.",Arts and CuLture,HIST 242,Introduction to Afro-American Art,
"African American Studies, B.S.",Arts and CuLture,WS 267,Artistic/Cultural Images of Black Women,
"African American Studies, B.S.",Arts and CuLture,AFROAMER 303,"Blacks, Film, and Society",
"African American Studies, B.S.",Arts and CuLture,WS 367,Art and Visual Culture: Women of the African Diaspora and Africa,
"African American Studies, B.S.",SEMINARS AND ADVANCED COURSES,WS 624,African American Women's Activism (19th & 20th Centuries),
"African American Studies, B.S.",SEMINARS AND ADVANCED COURSES,WS 625,"Gender, Race and the Civil Rights Movement",
"African American Studies, B.S.",SEMINARS AND ADVANCED COURSES,HISTORY 628,History of the Civil Rights Movement in the United States,
"African American Studies, B.S.",SEMINARS AND ADVANCED COURSES,AFROAMER 631,Colloquium in Afro-American History,
"African American Studies, B.S.",SEMINARS AND ADVANCED COURSES,AFROAMER 669,Interdisciplinary Studies in the Arts,
"African American Studies, B.S.",SEMINARS AND ADVANCED COURSES,AFROAMER 671,Selected Topics in Afro-American History,
"African American Studies, B.S.",SEMINARS AND ADVANCED COURSES,ENGL 672,Selected Topics in Afro-American Literature,
"African American Studies, B.S.",SEMINARS AND ADVANCED COURSES,AFROAMER 673,Selected Topics in Afro-American Society,
"African American Studies, B.S.",SEMINARS AND ADVANCED COURSES,AFROAMER 675,Selected Topics in Afro-American Culture,
"African American Studies, B.S.",SEMINARS AND ADVANCED COURSES,WS 677,Critical and Theoretical Perspectives in Black Women's Writings,
"African American Studies, B.S.",SEMINARS AND ADVANCED COURSES,WS 679,"Visual Culture, Gender and Critical Race Theory",
"African American Studies, B.S.",ELECTIVES,FOLKLORE 102,Introduction to Comparative US Ethnic and American Indian Studies,
"African American Studies, B.S.",ELECTIVES,AFROAMER 155,They: Race in American Literature,
"African American Studies, B.S.",ELECTIVES,WS 221,Introduction to Black Women's Studies,
"African American Studies, B.S.",ELECTIVES,AFROAMER 271,Selected Topics in African American Culture,
"African American Studies, B.S.",ELECTIVES,SCI 297,African and African-American Linkages: An Introduction,
"African American Studies, B.S.",ELECTIVES,AFROAMER 302,Undergraduate Studies in Afro-American History,
"African American Studies, B.S.",ELECTIVES,MUSIC 318,Cultural Cross Currents: West African Dance/Music in the Americas,
"African American Studies, B.S.",ELECTIVES,WS 323,"Gender, Race and Class: Women in U.S. History",
"African American Studies, B.S.",ELECTIVES,WS 333,Black Feminisms,
"African American Studies, B.S.",ELECTIVES,HISTORY 347,The Caribbean and its Diasporas,
"African American Studies, B.S.",ELECTIVES,AFROAMER 456,Soul Music and the African American Freedom Movement,
"African American Studies, B.S.",ELECTIVES,AFROAMER 469,Interdisciplinary Studies in the Arts,
"African American Studies, B.S.",ELECTIVES,SCI 519,African American Political Theory,
"African American Studies, B.S.",ELECTIVES,HIST 523,"Race, American Medicine and Public Health",
"African American Studies, B.S.",ELECTIVES,POL 567,History of African American Education,
"African American Studies, B.S.",RESIDENCE & QUALITY OF WORK in the MAJOR,HIST 241,Introduction to African Art and Architecture,3
"African American Studies, B.S.",RESIDENCE & QUALITY OF WORK in the MAJOR,SPANISH 260,Latin America: An Introduction,3-4
"African American Studies, B.S.",RESIDENCE & QUALITY OF WORK in the MAJOR,SOC 277,Africa: An Introductory Survey,4
"African American Studies, B.S.",RESIDENCE & QUALITY OF WORK in the MAJOR,SCI 297,African and African-American Linkages: An Introduction,4
"African American Studies, B.S.",RESIDENCE & QUALITY OF WORK in the MAJOR,HISTORY 347,The Caribbean and its Diasporas,3
"African American Studies, B.S.",RESIDENCE & QUALITY OF WORK in the MAJOR,AFRICAN 413,Contemporary African and Caribbean Drama,3-4
"African Cultural Studies, B.A.",Non–L&S students pursuing an L&S major,AFRICAN 321,First Semester Arabicand  Second Semester Arabic,
"African Cultural Studies, B.A.",Non–L&S students pursuing an L&S major,AFRICAN 331,First Semester Swahiliand  Second Semester Swahili,
"African Cultural Studies, B.A.",Non–L&S students pursuing an L&S major,AFRICAN 335,First Semester-A Language of Southern Africaand  Second Semester-A Language of Southern Africa,
"African Cultural Studies, B.A.",Non–L&S students pursuing an L&S major,AFRICAN 339,First Semester Summer Arabicand  Second Semester Summer Arabic,
"African Cultural Studies, B.A.",Non–L&S students pursuing an L&S major,AFRICAN 361,First Semester Hausaand  Second Semester Hausa,
"African Cultural Studies, B.A.",Non–L&S students pursuing an L&S major,AFRICAN 371,First Semester Yorubaand  Second Semester Yoruba,
"African Cultural Studies, B.A.",Non–L&S students pursuing an L&S major,AFRICAN 391,First Semester-A Language of West Africaand  Second Semester-A Language of West Africa,
"African Cultural Studies, B.A.",Language,AFRICAN 321,First Semester Arabicand  Second Semester Arabic,
"African Cultural Studies, B.A.",Language,AFRICAN 331,First Semester Swahiliand  Second Semester Swahili,
"African Cultural Studies, B.A.",Language,AFRICAN 335,First Semester-A Language of Southern Africaand  Second Semester-A Language of Southern Africa,
"African Cultural Studies, B.A.",Language,AFRICAN 339,First Semester Summer Arabicand  Second Semester Summer Arabic,
"African Cultural Studies, B.A.",Language,AFRICAN 361,First Semester Hausaand  Second Semester Hausa,
"African Cultural Studies, B.A.",Language,AFRICAN 371,First Semester Yorubaand  Second Semester Yoruba,
"African Cultural Studies, B.A.",Language,AFRICAN 391,First Semester-A Language of West Africaand  Second Semester-A Language of West Africa,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 100,Introduction to African Cultural Expression,
"African Cultural Studies, B.A.",Literature and Culture,FOLKLORE 270,The Hero and Trickster in African Oral Traditions,
"African Cultural Studies, B.A.",Literature and Culture,SOC 277,Africa: An Introductory Survey,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 300,African Literature in Translation,
"African Cultural Studies, B.A.",Literature and Culture,ST 302,Arabic Literature and Cinema,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 303,African Literature and Visual Culture,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 304,Soccer in Africa,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 323,Third Semester Arabic,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 324,Fourth Semester Arabic,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 325,Colloquial Arabic,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 326,Colloquial Arabic,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 329,Fifth Semester Arabic,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 330,Sixth Semester Arabic,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 333,Third Semester Swahili,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 334,Fourth Semester Swahili,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 337,Third Semester-A Language of Southern Africa,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 338,Fourth Semester-A Language of Southern Africa,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 341,Third Semester Summer Arabic,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 342,Fourth Semester Summer Arabic,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 343,Fifth Semester Summer Arabic,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 344,Sixth Semester Summer Arabic,
"African Cultural Studies, B.A.",Literature and Culture,ST 370,Islam: Religion and Culture,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 373,Third Semester Yoruba,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 374,Fourth Semester Yoruba,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 393,Third Semester-A Language of West Africa,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 394,Fourth Semester-A Language of West Africa,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 399,Directed Study of an African Language,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 402,Theory of African Literature,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 406,Topics in African Literature,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 407,Topics in African Languages,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 409,Topics in US and Global Black Music Studies,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 412,Contemporary African Fiction,
"African Cultural Studies, B.A.",Literature and Culture,AFROAMER 413,Contemporary African and Caribbean Drama,
"African Cultural Studies, B.A.",Literature and Culture,ST 414,Islam in Africa and the Diaspora,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 435,Fifth Semester Swahili,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 436,Sixth Semester Swahili,
"African Cultural Studies, B.A.",Literature and Culture,FRENCH 440,African/Francophone Film,
"African Cultural Studies, B.A.",Literature and Culture,S 444,Technology and Development in Africa and Beyond,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 445,Advanced Readings in Arabic Texts,
"African Cultural Studies, B.A.",Literature and Culture,PORTUG 451,Lusophone African Literature,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 453,Modern African Literature in English,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 475,Fifth Semester Yoruba,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 476,Sixth Semester Yoruba,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 500,Language and Society in Africa,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 605,Advanced Topics in African Cultural Studies,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 606,Advanced Topics in African Literature,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 609,Advanced Topics in Global Black Music Studies,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 669,Special Topics,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 681,Senior Honors Thesis,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 682,Senior Honors Thesis,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 698,Directed Study,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 699,Directed Study,
"African Cultural Studies, B.A.",Literature and Culture,AFROAMER 302,Undergraduate Studies in Afro-American History,
"African Cultural Studies, B.A.",Literature and Culture,MUSIC 318,Cultural Cross Currents: West African Dance/Music in the Americas,
"African Cultural Studies, B.A.",Literature and Culture,HISTORY 347,The Caribbean and its Diasporas,
"African Cultural Studies, B.A.",Literature and Culture,WS 367,Art and Visual Culture: Women of the African Diaspora and Africa,
"African Cultural Studies, B.A.",Literature and Culture,ECON 477,Agricultural and Economic Development in Africa,
"African Cultural Studies, B.A.",Literature and Culture,ANTHRO 333,Prehistory of Africa,
"African Cultural Studies, B.A.",Literature and Culture,HIST 479,Art and History in Africa,
"African Cultural Studies, B.A.",Literature and Culture,HIST 579,Proseminar in African Art,
"African Cultural Studies, B.A.",Literature and Culture,MUSIC 318,Cultural Cross Currents: West African Dance/Music in the Americas,
"African Cultural Studies, B.A.",Literature and Culture,E 477,Agricultural and Economic Development in Africa,
"African Cultural Studies, B.A.",Literature and Culture,AFROAMER 367,Art and Visual Culture: Women of the African Diaspora and Africa,
"African Cultural Studies, B.A.",Literature and Culture,SCI 429,Gender and Politics in Comparative Perspective,
"African Cultural Studies, B.A.",Literature and Culture,GEOG 355,"Africa, South of the Sahara",
"African Cultural Studies, B.A.",Literature and Culture,HISTORY 278,"Africans in the Americas, 1492-1808",
"African Cultural Studies, B.A.",Literature and Culture,HISTORY 279,"Afro-Atlantic History, 1808-Present",
"African Cultural Studies, B.A.",Literature and Culture,HISTORY 444,History of East Africa,
"African Cultural Studies, B.A.",Literature and Culture,HISTORY 445,History of Equatorial Africa,
"African Cultural Studies, B.A.",Literature and Culture,LITTRANS 226,Introduction to Luso-Afro-Brazilian Literature,
"African Cultural Studies, B.A.",Literature and Culture,LITTRANS 334,In Translation: The Art of Isak Dinesen/Karen Blixen,
"African Cultural Studies, B.A.",Literature and Culture,DANCE 318,Cultural Cross Currents: West African Dance/Music in the Americas,
"African Cultural Studies, B.A.",Literature and Culture,SCI 329,African Politics,
"African Cultural Studies, B.A.",Literature and Culture,WS 429,Gender and Politics in Comparative Perspective,
"African Cultural Studies, B.A.",Literature and Culture,SCI 455,African International Relations,
"African Cultural Studies, B.A.",Literature and Culture,HISTORY 129,Africa on the Global Stage,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 201,Introduction to African Literature,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 202,Introductory Topics in African Cultural Studies,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 203,Introductory Topics in African Literature,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 204,Introductory Topics in African Languages,
"African Cultural Studies, B.A.",Literature and Culture,FOLKLORE 210,The African Storyteller,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 212,Introduction to African Popular Culture,
"African Cultural Studies, B.A.",Literature and Culture,FRENCH 216,Modern and Contemporary Francophone Topics,
"African Cultural Studies, B.A.",Literature and Culture,AFROAMER 220,"HipHop, Youth Culture, and Politics in Senegal",
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 230,Introduction to Yoruba Life and Culture,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 231,Introduction to Arabic Literary Culture,
"African Cultural Studies, B.A.",Literature and Culture,AFRICAN 232,Introduction to Swahili Cultures,
"African Cultural Studies, B.A.",Literature and Culture,AFROAMER 233,Global HipHop and Social Justice,
"African Cultural Studies, B.A.",Literature and Culture,SCI 297,African and African-American Linkages: An Introduction,
"African Cultural Studies, B.A.",Literature and Culture,WS 221,Introduction to Black Women's Studies,
"African Cultural Studies, B.A.",Literature and Culture,HIST 241,Introduction to African Art and Architecture,
"African Cultural Studies, B.A.",Literature and Culture,WS 267,Artistic/Cultural Images of Black Women,
"African Cultural Studies, B.A.",Literature and Culture,AFROAMER 241,Introduction to African Art and Architecture,
"African Cultural Studies, B.A.",Literature and Culture,AFROAMER 221,Introduction to Black Women's Studies,
"African Cultural Studies, B.A.",Literature and Culture,AFROAMER 267,Artistic/Cultural Images of Black Women,
"African Cultural Studies, B.A.",Literature and Culture,HISTORY 105,Introduction to the History of Africa,
"African Cultural Studies, B.A.",Capstone course,AFRICAN 403,Theories of African Cultural Studies,
"African Cultural Studies, B.A.",Capstone course,AFRICAN 405,Topics in African Cultural Studies,
"African Cultural Studies, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,AFRICAN 321,First Semester Arabicand  Second Semester Arabic,
"African Cultural Studies, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,AFRICAN 331,First Semester Swahiliand  Second Semester Swahili,
"African Cultural Studies, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,AFRICAN 335,First Semester-A Language of Southern Africaand  Second Semester-A Language of Southern Africa,
"African Cultural Studies, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,AFRICAN 339,First Semester Summer Arabicand  Second Semester Summer Arabic,
"African Cultural Studies, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,AFRICAN 361,First Semester Hausaand  Second Semester Hausa,
"African Cultural Studies, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,AFRICAN 371,First Semester Yorubaand  Second Semester Yoruba,
"African Cultural Studies, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,AFRICAN 391,First Semester-A Language of West Africaand  Second Semester-A Language of West Africa,
"African Cultural Studies, B.S.",Language,AFRICAN 321,First Semester Arabicand  Second Semester Arabic,
"African Cultural Studies, B.S.",Language,AFRICAN 331,First Semester Swahiliand  Second Semester Swahili,
"African Cultural Studies, B.S.",Language,AFRICAN 335,First Semester-A Language of Southern Africaand  Second Semester-A Language of Southern Africa,
"African Cultural Studies, B.S.",Language,AFRICAN 339,First Semester Summer Arabicand  Second Semester Summer Arabic,
"African Cultural Studies, B.S.",Language,AFRICAN 361,First Semester Hausaand  Second Semester Hausa,
"African Cultural Studies, B.S.",Language,AFRICAN 371,First Semester Yorubaand  Second Semester Yoruba,
"African Cultural Studies, B.S.",Language,AFRICAN 391,First Semester-A Language of West Africaand  Second Semester-A Language of West Africa,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 100,Introduction to African Cultural Expression,
"African Cultural Studies, B.S.",Literature and Culture,FOLKLORE 270,The Hero and Trickster in African Oral Traditions,
"African Cultural Studies, B.S.",Literature and Culture,SOC 277,Africa: An Introductory Survey,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 300,African Literature in Translation,
"African Cultural Studies, B.S.",Literature and Culture,ST 302,Arabic Literature and Cinema,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 303,African Literature and Visual Culture,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 304,Soccer in Africa,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 323,Third Semester Arabic,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 324,Fourth Semester Arabic,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 325,Colloquial Arabic,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 326,Colloquial Arabic,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 329,Fifth Semester Arabic,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 330,Sixth Semester Arabic,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 333,Third Semester Swahili,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 334,Fourth Semester Swahili,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 337,Third Semester-A Language of Southern Africa,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 338,Fourth Semester-A Language of Southern Africa,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 341,Third Semester Summer Arabic,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 342,Fourth Semester Summer Arabic,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 343,Fifth Semester Summer Arabic,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 344,Sixth Semester Summer Arabic,
"African Cultural Studies, B.S.",Literature and Culture,ST 370,Islam: Religion and Culture,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 373,Third Semester Yoruba,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 374,Fourth Semester Yoruba,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 393,Third Semester-A Language of West Africa,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 394,Fourth Semester-A Language of West Africa,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 399,Directed Study of an African Language,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 402,Theory of African Literature,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 406,Topics in African Literature,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 407,Topics in African Languages,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 409,Topics in US and Global Black Music Studies,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 412,Contemporary African Fiction,
"African Cultural Studies, B.S.",Literature and Culture,AFROAMER 413,Contemporary African and Caribbean Drama,
"African Cultural Studies, B.S.",Literature and Culture,ST 414,Islam in Africa and the Diaspora,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 435,Fifth Semester Swahili,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 436,Sixth Semester Swahili,
"African Cultural Studies, B.S.",Literature and Culture,FRENCH 440,African/Francophone Film,
"African Cultural Studies, B.S.",Literature and Culture,S 444,Technology and Development in Africa and Beyond,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 445,Advanced Readings in Arabic Texts,
"African Cultural Studies, B.S.",Literature and Culture,PORTUG 451,Lusophone African Literature,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 453,Modern African Literature in English,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 475,Fifth Semester Yoruba,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 476,Sixth Semester Yoruba,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 500,Language and Society in Africa,
"African Cultural Studies, B.S.",Literature and Culture,AFRICAN 605,Advanced Topics in African Cultural Studies,
